,price_power,storage,inflow,outflow,elevation,evaporation
2003-12-15,6.87,2394.3334193548385,28.737903225806452,20.093,174.51264516129032,2.294
2004-01-15,7.31,2423.144516129032,64.55777419354838,38.687064516129034,174.70387096774192,2.294
2004-02-15,7.24,2556.1660344827587,96.10727586206896,46.15444827586207,175.5643103448276,2.945
2004-03-15,7.27,2588.5376451612906,79.36654838709677,52.74322580645161,175.76987096774192,4.587
2004-04-15,7.52,2638.0823,78.39313333333332,37.52826666666667,176.0787,5.578
2004-05-15,7.86,2668.3018387096777,46.61306451612903,58.082258064516125,176.26632258064518,6.569
2004-06-15,8.55,2619.2570666666666,38.81856666666667,44.33283333333333,175.9631666666667,7.221
2004-07-15,8.58,2594.302935483871,38.38932258064516,57.79916129032258,175.80567741935482,7.871999999999999
2004-08-15,8.85,2438.9811612903227,9.693483870967741,52.337709677419355,174.80693548387097,7.334
2004-09-15,8.34,2305.2446666666665,4.0342,32.49923333333333,173.9089666666667,5.804999999999999
2004-10-15,7.71,2299.190741935484,55.949322580645166,3.801741935483871,173.8671935483871,3.964
2004-11-15,7.76,2583.9802666666665,164.8735,27.976999999999997,175.73686666666666,3.058
2004-12-15,7.66,2680.6997096774194,71.4707741935484,113.27635483870968,176.3387741935484,2.294
2005-01-15,7.71,2688.276838709677,130.03532258064516,134.4536129032258,176.3846129032258,2.294
2005-02-15,7.95,2502.7859285714285,41.251535714285716,82.74475,175.2233214285714,2.945
2005-03-15,8.13,2422.600064516129,49.73154838709677,30.714548387096773,174.69990322580645,4.587
2005-04-15,8.23,2520.518866666667,38.55993333333333,5.783266666666666,175.33803333333336,5.578
2005-05-15,8.51,2522.094548387097,10.10725806451613,9.784806451612903,175.34854838709677,6.569
2005-06-15,9.19,2474.48,13.203166666666668,30.83696666666667,175.04036666666667,7.221
2005-07-15,9.49,2367.4295161290324,14.92016129032258,44.389709677419354,174.3314516129032,7.871999999999999
2005-08-15,9.82,2266.6864193548386,4.538870967741935,18.773129032258066,173.64335483870966,7.334
2005-09-15,10.13,2215.493366666667,14.468866666666667,16.7975,173.2848,5.804999999999999
2005-10-15,10.13,2184.9914516129033,5.5080967741935485,7.469258064516129,173.0682258064516,3.964
2005-11-15,9.67,2182.893333333333,20.143666666666665,2.2474,173.0533,3.058
2005-12-15,9.78,2189.145677419355,8.667677419354838,7.069999999999999,173.098,2.294
2006-01-15,9.96,2180.422129032258,28.747935483870968,6.730225806451613,173.03529032258064,2.294
2006-02-15,10.05,2242.6076428571428,18.683035714285715,0.0,173.47600000000003,2.945
2006-03-15,9.98,2343.5697096774193,119.5170322580645,7.978,174.15606451612902,4.587
2006-04-15,10.06,2556.2014,50.0178,2.5844,175.56583333333336,5.578
2006-05-15,10.2,2685.7422903225806,53.733387096774194,32.662032258064514,176.37329032258066,6.569
2006-06-15,10.77,2586.8467,15.0098,52.652366666666666,175.75876666666667,7.221
2006-07-15,10.84,2446.595774193548,7.354129032258065,38.05412903225807,174.85751612903223,7.871999999999999
2006-08-15,11.04,2347.657612903226,11.030774193548387,33.22025806451613,174.19864516129033,7.334
2006-09-15,10.69,2255.7021,10.5584,21.617,173.56703333333334,5.804999999999999
2006-10-15,10.22,2227.933064516129,14.363,3.8172580645161287,173.3730322580645,3.964
2006-11-15,9.85,2324.0245,64.29416666666667,0.8145666666666666,174.03526666666667,3.058
2006-12-15,9.78,2508.270580645161,101.62987096774194,9.298903225806452,175.2580322580645,2.294
2007-01-15,9.93,2778.9078387096774,209.78996774193547,164.90429032258064,176.92670967741935,2.294
2007-02-15,9.99,2628.129857142857,37.254714285714286,68.204,176.01803571428573,2.945
2007-03-15,10.1,2607.959387096774,28.043612903225807,19.189612903225807,175.89303225806452,4.587
2007-04-15,10.05,2664.7411333333334,75.10083333333334,7.7352,176.2423,5.578
2007-05-15,10.1,2665.999548387097,23.307548387096773,70.15345161290323,176.250935483871,6.569
2007-06-15,10.41,2582.4024666666664,31.455233333333336,44.562133333333335,175.73173333333335,7.221
2007-07-15,10.37,2534.765870967742,41.43112903225806,60.43438709677419,175.42912903225806,7.871999999999999
2007-08-15,10.28,2385.4819032258065,5.364677419354839,55.791419354838716,174.45070967741935,7.334
2007-09-15,10.3,2258.029966666667,17.445066666666666,28.1554,173.58323333333334,5.804999999999999
2007-10-15,10.14,2203.217870967742,12.230161290322581,10.34841935483871,173.19787096774195,3.964
2007-11-15,9.74,2195.8501333333334,11.799666666666667,1.2431333333333332,173.14573333333334,3.058
2007-12-15,9.73,2249.8876774193545,57.77448387096774,3.1440645161290326,173.52367741935484,2.294
2008-01-15,10.14,2352.5301290322577,24.789935483870966,4.937161290322581,174.23229032258064,2.294
2008-02-15,9.77,2476.5862068965516,106.48189655172413,5.893827586206896,175.04534482758623,2.945
2008-03-15,10.1,2749.375419354839,256.2551935483871,183.0553548387097,176.7518387096774,4.587
2008-04-15,10.52,2881.5929333333333,189.02876666666668,224.09716666666665,177.5314666666667,5.578
2008-05-15,10.62,2656.61,49.698677419354844,26.869,176.19467741935483,6.569
2008-06-15,11.92,2637.8171,32.9569,37.4772,176.0784,7.221
2008-07-15,12.22,2551.2951612903225,16.753387096774194,54.170870967741934,175.53367741935483,7.871999999999999
2008-08-15,11.9,2462.877,62.349064516129026,50.293290322580646,174.96467741935484,7.334
2008-09-15,11.33,2705.7439,219.8138,126.61753333333333,176.48763333333332,5.804999999999999
2008-10-15,10.98,2657.878064516129,46.95106451612903,40.16058064516129,176.2021935483871,3.964
2008-11-15,10.56,2616.6370333333334,18.0237,13.689066666666665,175.9472,3.058
2008-12-15,10.82,2557.112741935484,57.136064516129025,98.56445161290323,175.5703870967742,2.294
